Search_method Problem Max_evals Run Score
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 0 1100
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 1 1160
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 2 -1312
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 3 300
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 4 -1863
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 5 1080
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 6 700
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 7 800
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 8 1020
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 9 -1319
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 10 -1318
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 11 1160
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 12 1020
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 13 940
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 14 -2150
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 15 -1313
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 16 720
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 17 -1524
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 18 980
simple_mutation_pop_100 knapPI_11_20_1000_4 1000 19 -1871
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 0 -1443
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 1 -939
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 2 -1050
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 3 827
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 4 -1005
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 5 -1320
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 6 -1476
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 7 -1026
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 8 -1467
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 9 880
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 10 -1734
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 11 -1605
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 12 -1020
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 13 -1272
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 14 -1152
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 15 -1479
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 16 -900
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 17 -1656
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 18 -1530
simple_mutation_pop_100 knapPI_13_20_1000_4 1000 19 -1290
