Search_method Problem Max_evals Run Score
simple_mutation_random 11_20_1000_4 1000 0 -1525
simple_mutation_random 11_20_1000_4 1000 1 360
simple_mutation_random 11_20_1000_4 1000 2 1100
simple_mutation_random 11_20_1000_4 1000 3 1000
simple_mutation_random 11_20_1000_4 1000 4 -1737
simple_mutation_random 11_20_1000_4 1000 5 -1591
simple_mutation_random 11_20_1000_4 1000 6 1280
simple_mutation_random 11_20_1000_4 1000 7 1140
simple_mutation_random 11_20_1000_4 1000 8 -1933
simple_mutation_random 11_20_1000_4 1000 9 -1313
simple_mutation_random 13_20_1000_4 1000 0 -1143
simple_mutation_random 13_20_1000_4 1000 1 -1647
simple_mutation_random 13_20_1000_4 1000 2 -1719
simple_mutation_random 13_20_1000_4 1000 3 -1512
simple_mutation_random 13_20_1000_4 1000 4 -1137
simple_mutation_random 13_20_1000_4 1000 5 -1455
simple_mutation_random 13_20_1000_4 1000 6 -1635
simple_mutation_random 13_20_1000_4 1000 7 -1080
simple_mutation_random 13_20_1000_4 1000 8 -1320
simple_mutation_random 13_20_1000_4 1000 9 -1437
simple_mutation_random 16_20_1000_4 1000 0 -2510
simple_mutation_random 16_20_1000_4 1000 1 969
simple_mutation_random 16_20_1000_4 1000 2 -1657
simple_mutation_random 16_20_1000_4 1000 3 -1575
simple_mutation_random 16_20_1000_4 1000 4 -2260
simple_mutation_random 16_20_1000_4 1000 5 -1667
simple_mutation_random 16_20_1000_4 1000 6 -2017
simple_mutation_random 16_20_1000_4 1000 7 -2057
simple_mutation_random 16_20_1000_4 1000 8 -1230
simple_mutation_random 16_20_1000_4 1000 9 -1938
simple_mutation_random 11_200_1000_4 1000 0 -41834
simple_mutation_random 11_200_1000_4 1000 1 -46587
simple_mutation_random 11_200_1000_4 1000 2 -43611
simple_mutation_random 11_200_1000_4 1000 3 -45889
simple_mutation_random 11_200_1000_4 1000 4 -46524
simple_mutation_random 11_200_1000_4 1000 5 -46853
simple_mutation_random 11_200_1000_4 1000 6 -46223
simple_mutation_random 11_200_1000_4 1000 7 -43038
simple_mutation_random 11_200_1000_4 1000 8 -47267
simple_mutation_random 11_200_1000_4 1000 9 -48723
simple_mutation_random 13_200_1000_4 1000 0 -27630
simple_mutation_random 13_200_1000_4 1000 1 -25206
simple_mutation_random 13_200_1000_4 1000 2 -27144
simple_mutation_random 13_200_1000_4 1000 3 -27747
simple_mutation_random 13_200_1000_4 1000 4 -29628
simple_mutation_random 13_200_1000_4 1000 5 -27477
simple_mutation_random 13_200_1000_4 1000 6 -28635
simple_mutation_random 13_200_1000_4 1000 7 -26931
simple_mutation_random 13_200_1000_4 1000 8 -28257
simple_mutation_random 13_200_1000_4 1000 9 -27315
simple_mutation_random 16_200_1000_4 1000 0 -45482
simple_mutation_random 16_200_1000_4 1000 1 -42680
simple_mutation_random 16_200_1000_4 1000 2 -43988
simple_mutation_random 16_200_1000_4 1000 3 -42488
simple_mutation_random 16_200_1000_4 1000 4 -44732
simple_mutation_random 16_200_1000_4 1000 5 -41630
simple_mutation_random 16_200_1000_4 1000 6 -40773
simple_mutation_random 16_200_1000_4 1000 7 -44118
simple_mutation_random 16_200_1000_4 1000 8 -42513
simple_mutation_random 16_200_1000_4 1000 9 -43256
simple_mutation_random 16_1000_1000_3 1000 0 -219767
simple_mutation_random 16_1000_1000_3 1000 1 -227448
simple_mutation_random 16_1000_1000_3 1000 2 -226678
simple_mutation_random 16_1000_1000_3 1000 3 -230478
simple_mutation_random 16_1000_1000_3 1000 4 -227318
simple_mutation_random 16_1000_1000_3 1000 5 -229569
simple_mutation_random 16_1000_1000_3 1000 6 -218705
simple_mutation_random 16_1000_1000_3 1000 7 -215881
simple_mutation_random 16_1000_1000_3 1000 8 -222499
simple_mutation_random 16_1000_1000_3 1000 9 -229207
simple_mutation_greedy 11_20_1000_4 1000 0 1440
simple_mutation_greedy 11_20_1000_4 1000 1 1440
simple_mutation_greedy 11_20_1000_4 1000 2 1440
simple_mutation_greedy 11_20_1000_4 1000 3 1440
simple_mutation_greedy 11_20_1000_4 1000 4 1440
simple_mutation_greedy 11_20_1000_4 1000 5 1440
simple_mutation_greedy 11_20_1000_4 1000 6 1440
simple_mutation_greedy 11_20_1000_4 1000 7 1440
simple_mutation_greedy 11_20_1000_4 1000 8 1440
simple_mutation_greedy 11_20_1000_4 1000 9 1440
simple_mutation_greedy 13_20_1000_4 1000 0 890
simple_mutation_greedy 13_20_1000_4 1000 1 907
simple_mutation_greedy 13_20_1000_4 1000 2 907
simple_mutation_greedy 13_20_1000_4 1000 3 907
simple_mutation_greedy 13_20_1000_4 1000 4 907
simple_mutation_greedy 13_20_1000_4 1000 5 907
simple_mutation_greedy 13_20_1000_4 1000 6 907
simple_mutation_greedy 13_20_1000_4 1000 7 907
simple_mutation_greedy 13_20_1000_4 1000 8 890
simple_mutation_greedy 13_20_1000_4 1000 9 907
simple_mutation_greedy 16_20_1000_4 1000 0 2214
simple_mutation_greedy 16_20_1000_4 1000 1 2505
simple_mutation_greedy 16_20_1000_4 1000 2 2886
simple_mutation_greedy 16_20_1000_4 1000 3 2431
simple_mutation_greedy 16_20_1000_4 1000 4 2274
simple_mutation_greedy 16_20_1000_4 1000 5 2453
simple_mutation_greedy 16_20_1000_4 1000 6 2285
simple_mutation_greedy 16_20_1000_4 1000 7 2376
simple_mutation_greedy 16_20_1000_4 1000 8 2424
simple_mutation_greedy 16_20_1000_4 1000 9 2435
simple_mutation_greedy 11_200_1000_4 1000 0 5100
simple_mutation_greedy 11_200_1000_4 1000 1 5080
simple_mutation_greedy 11_200_1000_4 1000 2 5060
simple_mutation_greedy 11_200_1000_4 1000 3 5120
simple_mutation_greedy 11_200_1000_4 1000 4 5120
simple_mutation_greedy 11_200_1000_4 1000 5 5180
simple_mutation_greedy 11_200_1000_4 1000 6 5020
simple_mutation_greedy 11_200_1000_4 1000 7 5120
simple_mutation_greedy 11_200_1000_4 1000 8 5140
simple_mutation_greedy 11_200_1000_4 1000 9 5100
simple_mutation_greedy 13_200_1000_4 1000 0 3620
simple_mutation_greedy 13_200_1000_4 1000 1 3620
simple_mutation_greedy 13_200_1000_4 1000 2 3663
simple_mutation_greedy 13_200_1000_4 1000 3 3663
simple_mutation_greedy 13_200_1000_4 1000 4 3680
simple_mutation_greedy 13_200_1000_4 1000 5 3619
simple_mutation_greedy 13_200_1000_4 1000 6 3627
simple_mutation_greedy 13_200_1000_4 1000 7 3663
simple_mutation_greedy 13_200_1000_4 1000 8 3663
simple_mutation_greedy 13_200_1000_4 1000 9 3663
simple_mutation_greedy 16_200_1000_4 1000 0 8029
simple_mutation_greedy 16_200_1000_4 1000 1 8223
simple_mutation_greedy 16_200_1000_4 1000 2 8136
simple_mutation_greedy 16_200_1000_4 1000 3 7943
simple_mutation_greedy 16_200_1000_4 1000 4 8110
simple_mutation_greedy 16_200_1000_4 1000 5 8366
simple_mutation_greedy 16_200_1000_4 1000 6 7815
simple_mutation_greedy 16_200_1000_4 1000 7 8306
simple_mutation_greedy 16_200_1000_4 1000 8 8081
simple_mutation_greedy 16_200_1000_4 1000 9 7807
simple_mutation_greedy 16_1000_1000_3 1000 0 27370
simple_mutation_greedy 16_1000_1000_3 1000 1 27842
simple_mutation_greedy 16_1000_1000_3 1000 2 27436
simple_mutation_greedy 16_1000_1000_3 1000 3 26262
simple_mutation_greedy 16_1000_1000_3 1000 4 26822
simple_mutation_greedy 16_1000_1000_3 1000 5 27535
simple_mutation_greedy 16_1000_1000_3 1000 6 27476
simple_mutation_greedy 16_1000_1000_3 1000 7 26748
simple_mutation_greedy 16_1000_1000_3 1000 8 26892
simple_mutation_greedy 16_1000_1000_3 1000 9 26123
uniform_xo_random 11_20_1000_4 1000 0 1440
uniform_xo_random 11_20_1000_4 1000 1 1400
uniform_xo_random 11_20_1000_4 1000 2 1400
uniform_xo_random 11_20_1000_4 1000 3 1440
uniform_xo_random 11_20_1000_4 1000 4 1440
uniform_xo_random 11_20_1000_4 1000 5 1400
uniform_xo_random 11_20_1000_4 1000 6 1320
uniform_xo_random 11_20_1000_4 1000 7 1400
uniform_xo_random 11_20_1000_4 1000 8 1320
uniform_xo_random 11_20_1000_4 1000 9 1400
uniform_xo_random 13_20_1000_4 1000 0 890
uniform_xo_random 13_20_1000_4 1000 1 907
uniform_xo_random 13_20_1000_4 1000 2 907
uniform_xo_random 13_20_1000_4 1000 3 907
uniform_xo_random 13_20_1000_4 1000 4 907
uniform_xo_random 13_20_1000_4 1000 5 907
uniform_xo_random 13_20_1000_4 1000 6 907
uniform_xo_random 13_20_1000_4 1000 7 907
uniform_xo_random 13_20_1000_4 1000 8 907
uniform_xo_random 13_20_1000_4 1000 9 907
uniform_xo_random 16_20_1000_4 1000 0 2893
uniform_xo_random 16_20_1000_4 1000 1 2893
uniform_xo_random 16_20_1000_4 1000 2 2893
uniform_xo_random 16_20_1000_4 1000 3 2893
uniform_xo_random 16_20_1000_4 1000 4 2893
uniform_xo_random 16_20_1000_4 1000 5 2893
uniform_xo_random 16_20_1000_4 1000 6 2893
uniform_xo_random 16_20_1000_4 1000 7 2886
uniform_xo_random 16_20_1000_4 1000 8 2893
uniform_xo_random 16_20_1000_4 1000 9 2886
uniform_xo_random 11_200_1000_4 1000 0 5140
uniform_xo_random 11_200_1000_4 1000 1 5180
uniform_xo_random 11_200_1000_4 1000 2 5180
uniform_xo_random 11_200_1000_4 1000 3 5180
uniform_xo_random 11_200_1000_4 1000 4 4980
uniform_xo_random 11_200_1000_4 1000 5 5100
uniform_xo_random 11_200_1000_4 1000 6 5180
uniform_xo_random 11_200_1000_4 1000 7 5020
uniform_xo_random 11_200_1000_4 1000 8 5100
uniform_xo_random 11_200_1000_4 1000 9 5140
uniform_xo_random 13_200_1000_4 1000 0 3663
uniform_xo_random 13_200_1000_4 1000 1 3663
uniform_xo_random 13_200_1000_4 1000 2 3663
uniform_xo_random 13_200_1000_4 1000 3 3663
uniform_xo_random 13_200_1000_4 1000 4 3663
uniform_xo_random 13_200_1000_4 1000 5 3663
uniform_xo_random 13_200_1000_4 1000 6 3663
uniform_xo_random 13_200_1000_4 1000 7 3663
uniform_xo_random 13_200_1000_4 1000 8 3663
uniform_xo_random 13_200_1000_4 1000 9 3663
uniform_xo_random 16_200_1000_4 1000 0 15616
uniform_xo_random 16_200_1000_4 1000 1 15169
